estimate,CI_left,CI_right,misp,estimator,iter
1.34273499779973,1.24798297894517,1.43927522956436,1,auDRI,1
1.3299793009044,1.2284605976579,1.4314980041509,1,AIPW,1
1.44857217545724,1.31026242377283,1.59616946497462,2,auDRI,1
1.44838555827764,1.19982654053393,1.69694457602135,2,AIPW,1
1.38689367732705,1.29320811226929,1.48569996146411,3,auDRI,1
1.40951333108821,1.34038758785408,1.47863907432233,3,AIPW,1
2.28545765727073,2.14945513787661,2.41572497131915,4,auDRI,1
2.54311671079801,2.40981736186917,2.67641605972684,4,AIPW,1
1.39297612930542,1.32077062931427,1.46620977047371,1,auDRI,2
1.39255525540535,1.32048393616138,1.46462657464931,1,AIPW,2
1.48949764709181,1.37996382154593,1.60808235419215,2,auDRI,2
1.50110954597419,1.3070006398489,1.69521845209948,2,AIPW,2
1.40186832595171,1.32665101370297,1.47801548105927,3,auDRI,2
1.4265146501784,1.35843044623023,1.49459885412658,3,AIPW,2
2.2678405620724,2.14172452580664,2.40256139104172,4,auDRI,2
2.51051225193262,2.37710547090783,2.64391903295741,4,AIPW,2
1.40227185573587,1.32761431028577,1.47680199364839,1,auDRI,3
1.38431940331815,1.31149436790394,1.45714443873235,1,AIPW,3
1.44991782291076,1.33338164654881,1.57002671347544,2,auDRI,3
1.50709027223536,1.30437787338336,1.70980267108736,2,AIPW,3
1.405234514203,1.33288339350887,1.4853825020717,3,auDRI,3
1.4063534972689,1.3388845708468,1.473822423691,3,AIPW,3
2.23677852223628,2.10383762975496,2.36121617191808,4,auDRI,3
2.54833682329873,2.4166561123845,2.68001753421296,4,AIPW,3
1.33850924049862,1.26076505742242,1.41480380471409,1,auDRI,4
1.33499853971787,1.26050469461077,1.40949238482498,1,AIPW,4
1.42314857390238,1.31369889651547,1.53275479322468,2,auDRI,4
1.41312920102287,1.20033614758476,1.62592225446097,2,AIPW,4
1.35319464535921,1.27094995638243,1.42989026374115,3,auDRI,4
1.37999935661559,1.31235813143149,1.4476405817997,3,AIPW,4
2.19095846877843,2.06544317807644,2.31232632610098,4,auDRI,4
2.45118755257804,2.32174891698268,2.5806261881734,4,AIPW,4
1.38092670999952,1.30123250992914,1.46251993529117,1,auDRI,5
1.37649366052859,1.29707828665269,1.4559090344045,1,AIPW,5
1.48401223324787,1.36024351826628,1.61342785278139,2,auDRI,5
1.44839098773172,1.23493544209287,1.66184653337058,2,AIPW,5
1.37664150979389,1.28795506760141,1.45879616023648,3,auDRI,5
1.41899554681136,1.34910043467753,1.48889065894519,3,AIPW,5
2.2160226724439,2.09012828755776,2.34608803871065,4,auDRI,5
2.51428330166468,2.380344180979,2.64822242235035,4,AIPW,5
1.24625243383718,1.17593096125,1.32335693324109,1,auDRI,6
1.25992221363195,1.18471574288823,1.33512868437566,1,AIPW,6
1.344411557326,1.23621439407851,1.45397582254598,2,auDRI,6
1.35305446360638,1.14715162342016,1.5589573037926,2,AIPW,6
1.27367639927421,1.19865985351152,1.34967202982205,3,auDRI,6
1.30282739059884,1.23378751703002,1.37186726416766,3,AIPW,6
2.1351136534737,2.01219094327773,2.25722746570791,4,auDRI,6
2.36777845995193,2.23467535243768,2.50088156746617,4,AIPW,6
1.438059144068,1.35563644365395,1.51811838138738,1,auDRI,7
1.38831326710638,1.29979454552665,1.4768319886861,1,AIPW,7
1.40091698733992,1.22787853563984,1.58591487624936,2,auDRI,7
1.44957164533189,1.17769402933399,1.72144926132979,2,AIPW,7
1.44032291992163,1.3645155986503,1.5252465119941,3,auDRI,7
1.45160015270636,1.37962945020397,1.52357085520875,3,AIPW,7
2.32148198506538,2.18138178168127,2.45046672543249,4,auDRI,7
2.5910510717788,2.45500178735826,2.72710035619935,4,AIPW,7
1.45680959158318,1.38122750524827,1.53023627191804,1,auDRI,8
1.44038011453844,1.36609124629602,1.51466898278087,1,AIPW,8
1.63836607132098,1.53140218239692,1.75190244397512,2,auDRI,8
1.61552139534458,1.42718184301988,1.80386094766928,2,AIPW,8
1.47656691763855,1.40505760250039,1.55292083990761,3,auDRI,8
1.49392148761404,1.42487461573448,1.56296835949361,3,AIPW,8
2.43906088413865,2.30509523566838,2.56810360723698,4,auDRI,8
2.66909717598496,2.53513893799404,2.80305541397587,4,AIPW,8
1.39147604711508,1.31560429541557,1.46392510631472,1,auDRI,9
1.39458926598261,1.31975349725208,1.46942503471315,1,AIPW,9
1.4994718535787,1.37920454683198,1.6142294373934,2,auDRI,9
1.51622752732988,1.3162096328766,1.71624542178317,2,AIPW,9
