estimate,CI_left,CI_right,misp,estimator,lrnr,pos_const,n,ATE,iter
0.310502557557736,0.229973176893024,0.396803081638779,1,auDRI,earth,4,2000,0.279944924159284,1
0.259883579248902,0.204912071513216,0.314855086984588,1,AIPW,earth,4,2000,0.279944924159284,1
0.3199116873658,0.243256751329172,0.394627426282425,2,auDRI,earth,4,2000,0.279944924159284,1
0.280485056120892,0.220991209761332,0.339978902480452,2,AIPW,earth,4,2000,0.279944924159284,1
0.285807139175412,0.243178243640681,0.327478041712298,3,auDRI,earth,4,2000,0.279944924159284,1
0.281318132567536,0.241098342642367,0.321537922492705,3,AIPW,earth,4,2000,0.279944924159284,1
0.341652500458145,0.300946518837454,0.382684530233408,4,auDRI,earth,4,2000,0.279944924159284,1
0.34152479596976,0.300201632622156,0.382847959317363,4,AIPW,earth,4,2000,0.279944924159284,1
0.310941668304496,0.223610688800265,0.41819069520541,1,auDRI,gam_1,4,2000,0.279944924159284,1
0.268932292793111,0.215735637957774,0.322128947628448,1,AIPW,gam_1,4,2000,0.279944924159284,1
0.317780272914413,0.240325703927527,0.396639677179774,2,auDRI,gam_1,4,2000,0.279944924159284,1
0.292103649582987,0.23596557402904,0.348241725136935,2,AIPW,gam_1,4,2000,0.279944924159284,1
0.279814522083375,0.237434972431471,0.321244633531807,3,auDRI,gam_1,4,2000,0.279944924159284,1
0.285808613430996,0.245689667607156,0.325927559254836,3,AIPW,gam_1,4,2000,0.279944924159284,1
0.341652500458145,0.300989309558052,0.382776144913045,4,auDRI,gam_1,4,2000,0.279944924159284,1
0.34152479596976,0.300201632622156,0.382847959317363,4,AIPW,gam_1,4,2000,0.279944924159284,1
0.307275415503068,0.227570321626122,0.378941144847468,1,auDRI,xgboost,4,2000,0.279944924159284,1
0.284216663609773,0.232922380052293,0.335510947167253,1,AIPW,xgboost,4,2000,0.279944924159284,1
0.317162864535237,0.243760733945284,0.386934719148079,2,auDRI,xgboost,4,2000,0.279944924159284,1
0.299761707667475,0.247147837823361,0.35237557751159,2,AIPW,xgboost,4,2000,0.279944924159284,1
0.29938774049792,0.256528367441742,0.340685370389675,3,auDRI,xgboost,4,2000,0.279944924159284,1
0.298506823667587,0.258317937587708,0.338695709747466,3,AIPW,xgboost,4,2000,0.279944924159284,1
0.341652500458145,0.300679791059009,0.382694445996782,4,auDRI,xgboost,4,2000,0.279944924159284,1
0.34152479596976,0.300201632622156,0.382847959317363,4,AIPW,xgboost,4,2000,0.279944924159284,1
0.276701874077785,0.207243953481098,0.345356274692025,1,auDRI,earth,4,2000,0.279780798238525,2
0.30089681726668,0.246345563421955,0.355448071111405,1,AIPW,earth,4,2000,0.279780798238525,2
0.286575608721665,0.21145392033313,0.36869117502181,2,auDRI,earth,4,2000,0.279780798238525,2
0.340771585930865,0.284988457917337,0.396554713944394,2,AIPW,earth,4,2000,0.279780798238525,2
0.32855521218752,0.285809024714048,0.368968443107881,3,auDRI,earth,4,2000,0.279780798238525,2
0.319274159416067,0.27953956897491,0.359008749857224,3,AIPW,earth,4,2000,0.279780798238525,2
0.383266539168991,0.342792901526317,0.423686127218025,4,auDRI,earth,4,2000,0.279780798238525,2
0.383283209147219,0.342718586253255,0.423847832041182,4,AIPW,earth,4,2000,0.279780798238525,2
0.287374913921188,0.222683734679003,0.350980634827853,1,auDRI,gam_1,4,2000,0.279780798238525,2
0.305407344782434,0.25562613530413,0.355188554260738,1,AIPW,gam_1,4,2000,0.279780798238525,2
0.294766822292111,0.223791512237847,0.369503224964048,2,auDRI,gam_1,4,2000,0.279780798238525,2
0.340072754403913,0.286264858018091,0.393880650789734,2,AIPW,gam_1,4,2000,0.279780798238525,2
0.313696417266636,0.272147991391328,0.355152046023436,3,auDRI,gam_1,4,2000,0.279780798238525,2
0.317997633001228,0.278863806708392,0.357131459294064,3,AIPW,gam_1,4,2000,0.279780798238525,2
0.383266539168991,0.343233591214164,0.423489198887092,4,auDRI,gam_1,4,2000,0.279780798238525,2
0.383283209147219,0.342718586253255,0.423847832041182,4,AIPW,gam_1,4,2000,0.279780798238525,2
0.276514761861293,0.199990254573648,0.358725784677163,1,auDRI,xgboost,4,2000,0.279780798238525,2
0.325119631369152,0.272951951096164,0.377287311642139,1,AIPW,xgboost,4,2000,0.279780798238525,2
0.275921168244801,0.194485361512045,0.37103191141663,2,auDRI,xgboost,4,2000,0.279780798238525,2
0.350757927955492,0.296553363373815,0.40496249253717,2,AIPW,xgboost,4,2000,0.279780798238525,2
0.352812687636229,0.310785040997357,0.39338840750403,3,auDRI,xgboost,4,2000,0.279780798238525,2
0.347496623655527,0.307914069070035,0.387079178241019,3,AIPW,xgboost,4,2000,0.279780798238525,2
0.383266539168991,0.343123396907941,0.423581488646507,4,auDRI,xgboost,4,2000,0.279780798238525,2
0.383283209147219,0.342718586253255,0.423847832041182,4,AIPW,xgboost,4,2000,0.279780798238525,2
0.275650629945778,0.199126979859034,0.348981125217805,1,auDRI,earth,4,2000,0.279982869484073,3
0.283486515271179,0.227502190231567,0.33947084031079,1,AIPW,earth,4,2000,0.279982869484073,3
0.293987083536198,0.223787829245217,0.37142117119086,2,auDRI,earth,4,2000,0.279982869484073,3
0.321116237900415,0.264324998134753,0.377907477666077,2,AIPW,earth,4,2000,0.279982869484073,3
0.290436134652972,0.249044667672962,0.333250002475866,3,auDRI,earth,4,2000,0.279982869484073,3
0.282033867226136,0.242505294634046,0.321562439818226,3,AIPW,earth,4,2000,0.279982869484073,3
0.364159205280701,0.322819313183216,0.404070534501849,4,auDRI,earth,4,2000,0.279982869484073,3
