estimate,CI_left,CI_right,misp,estimator,lrnr,ATE,iter
0.241679102388335,0.218421751449019,0.265112464218505,1,auDRI,gam_0,0.243455750748908,1
0.237103864350092,0.213217969044508,0.260989759655675,1,AIPW,gam_0,0.243455750748908,1
0.244148370210502,0.2220451198982,0.269742176725385,2,auDRI,gam_0,0.243455750748908,1
0.236808438038093,0.204846505287367,0.268770370788819,2,AIPW,gam_0,0.243455750748908,1
0.251434825728194,0.229280892138399,0.27294030624845,3,auDRI,gam_0,0.243455750748908,1
0.252066613344959,0.233523235778031,0.270609990911887,3,AIPW,gam_0,0.243455750748908,1
0.438923480101225,0.418778910715698,0.459011495466358,4,auDRI,gam_0,0.243455750748908,1
0.439039883369663,0.418715660691724,0.459364106047603,4,AIPW,gam_0,0.243455750748908,1
0.241899741876391,0.218013014189152,0.265941857251511,1,auDRI,gam_1,0.243455750748908,1
0.238820521429279,0.215731185316201,0.261909857542358,1,AIPW,gam_1,0.243455750748908,1
0.242938630140796,0.220549364688991,0.269416020493154,2,auDRI,gam_1,0.243455750748908,1
0.247046210586373,0.216854123035381,0.277238298137364,2,AIPW,gam_1,0.243455750748908,1
0.244003636975821,0.221148669456979,0.266453850908342,3,auDRI,gam_1,0.243455750748908,1
0.252402242103336,0.233914698126332,0.270889786080339,3,AIPW,gam_1,0.243455750748908,1
0.438923480101225,0.417678535877836,0.459559687630943,4,auDRI,gam_1,0.243455750748908,1
0.439039883369663,0.418715660691724,0.459364106047603,4,AIPW,gam_1,0.243455750748908,1
0.234958299778022,0.21169450292527,0.260849763553449,1,auDRI,gam_2,0.243455750748908,1
0.234539810359376,0.211248421026328,0.257831199692423,1,AIPW,gam_2,0.243455750748908,1
0.236254764803241,0.212651354712426,0.259145112875308,2,auDRI,gam_2,0.243455750748908,1
0.235853219201071,0.204267030256412,0.267439408145729,2,AIPW,gam_2,0.243455750748908,1
0.240417611182582,0.217698481460144,0.261445786306758,3,auDRI,gam_2,0.243455750748908,1
0.245005883546851,0.22651668281381,0.263495084279893,3,AIPW,gam_2,0.243455750748908,1
0.438923480101225,0.418924854212204,0.459126352982594,4,auDRI,gam_2,0.243455750748908,1
0.439039883369663,0.418715660691724,0.459364106047603,4,AIPW,gam_2,0.243455750748908,1
0.246023808673563,0.22253821417405,0.271928301513843,1,auDRI,xgboost,0.243455750748908,1
0.24462852716381,0.221079723022817,0.268177331304804,1,AIPW,xgboost,0.243455750748908,1
0.253419546564648,0.229422297613243,0.279164872140207,2,auDRI,xgboost,0.243455750748908,1
0.263070191299433,0.234740215834691,0.291400166764175,2,AIPW,xgboost,0.243455750748908,1
0.260143562384148,0.237259646379446,0.282357982246862,3,auDRI,xgboost,0.243455750748908,1
0.267636835807487,0.249053525273124,0.286220146341849,3,AIPW,xgboost,0.243455750748908,1
0.438923480101225,0.418534227828505,0.458050118132377,4,auDRI,xgboost,0.243455750748908,1
0.439039883369663,0.418715660691724,0.459364106047603,4,AIPW,xgboost,0.243455750748908,1
0.145957232242064,0.12187688293053,0.168995809565445,1,auDRI,gam_0,0.137394877839875,2
0.144859593027491,0.121513092543338,0.168206093511643,1,AIPW,gam_0,0.137394877839875,2
0.155396128963567,0.133572990498096,0.178541558977322,2,auDRI,gam_0,0.137394877839875,2
0.151624581385659,0.122974167235529,0.180274995535789,2,AIPW,gam_0,0.137394877839875,2
0.157155890173775,0.132819422628155,0.176579990273515,3,auDRI,gam_0,0.137394877839875,2
0.15365652855503,0.134378093491011,0.172934963619049,3,AIPW,gam_0,0.137394877839875,2
0.341549048611765,0.320431410663209,0.362560740814789,4,auDRI,gam_0,0.137394877839875,2
0.341519486963083,0.320274791824453,0.362764182101714,4,AIPW,gam_0,0.137394877839875,2
0.142024146208443,0.118722325183063,0.164057740582694,1,auDRI,gam_1,0.137394877839875,2
0.144128890409417,0.121460495090348,0.166797285728486,1,AIPW,gam_1,0.137394877839875,2
