estimate,CI_left,CI_right,misp,estimator,iter
1.47317925390922,1.36643486738339,1.58565382062337,1,auDRI,1
1.46388587985131,1.3456810023944,1.58209075730822,1,AIPW,1
1.62984970093588,1.48339820967795,1.78652995848198,2,auDRI,1
1.55319620605963,1.22999437234721,1.87639803977206,2,AIPW,1
1.50761958619723,1.39957942872973,1.62409771040437,3,auDRI,1
1.54430831646755,1.44623791425924,1.64237871867586,3,AIPW,1
2.59446909244703,2.42058956137462,2.76983199170385,4,auDRI,1
2.80729845671587,2.62983859911288,2.98475831431887,4,AIPW,1
1.46589870826744,1.35359099127481,1.58997316585091,1,auDRI,2
1.44120245919092,1.32404508735958,1.55835983102226,1,AIPW,2
1.71946276430485,1.54768319204606,1.88653011395195,2,auDRI,2
1.53903043755092,1.14594874519236,1.93211212990947,2,AIPW,2
1.49144273708798,1.36986104259139,1.60890896949351,3,auDRI,2
1.55850660542225,1.45810598881868,1.65890722202581,3,AIPW,2
2.57920011300105,2.40324287761008,2.75360512599838,4,auDRI,2
2.81072357152507,2.63142615184645,2.9900209912037,4,AIPW,2
1.3937528107944,1.26018143259306,1.52944258268604,1,auDRI,3
1.35294527254077,1.20697054275787,1.49892000232366,1,AIPW,3
1.65477544212864,1.46102829260495,1.86400278971615,2,auDRI,3
1.57962805851372,1.27256163166325,1.88669448536418,2,AIPW,3
1.43816677896052,1.28922833711286,1.59453340436179,3,auDRI,3
1.46584521756168,1.36277676776797,1.56891366735538,3,AIPW,3
2.52296471966032,2.33661464307597,2.71854897160854,4,auDRI,3
2.76422263058604,2.57929100125184,2.94915425992024,4,AIPW,3
1.57826431204106,1.44885613268969,1.71982288459335,1,auDRI,4
1.50068656183856,1.37183823809777,1.62953488557935,1,AIPW,4
1.74978937687152,1.58012644933852,1.96585458189713,2,auDRI,4
1.72758340878797,1.37123555699032,2.08393126058562,2,AIPW,4
1.62923401670149,1.50024900137144,1.77081478188951,3,auDRI,4
1.58820824117778,1.48043094918016,1.69598553317539,3,AIPW,4
2.82399975745821,2.64063647717216,2.98850691062809,4,auDRI,4
3.0299205540279,2.84891924361048,3.21092186444531,4,AIPW,4
1.53217335730553,1.4122954944406,1.65907688879273,1,auDRI,5
1.47858204528841,1.34686563610999,1.61029845446682,1,AIPW,5
1.61305757381242,1.41774053799349,1.82022258980051,2,auDRI,5
1.58015122898778,1.19569970181616,1.96460275615941,2,AIPW,5
1.5304592529194,1.4012348055835,1.66005978504742,3,auDRI,5
1.58056724549546,1.47752588767128,1.68360860331963,3,AIPW,5
2.58431737609808,2.40347717568354,2.76201714371507,4,auDRI,5
2.82635293246512,2.6492682777589,3.00343758717134,4,AIPW,5
1.3901120161898,1.26044336827864,1.52697837903478,1,auDRI,6
1.28911136281185,1.08240539594664,1.49581732967705,1,AIPW,6
1.48131383055123,1.28003976973973,1.71536373786236,2,auDRI,6
1.15955734207119,0.447183680990163,1.87193100315221,2,AIPW,6
1.45104615334535,1.30498293781161,1.59836264927514,3,auDRI,6
1.47395960594758,1.37316312442301,1.57475608747215,3,AIPW,6
2.52306634669613,2.33567951867839,2.70824837241303,4,auDRI,6
