estimate,CI_left,CI_right,misp,estimator,iter
1.33995603336095,1.24882038285751,1.43662641836624,1,auDRI,1
1.32387473074213,1.22633562333434,1.42141383814992,1,AIPW,1
1.37980022343141,1.21481235349946,1.55871653285636,2,auDRI,1
1.47479867197489,1.27618382772642,1.67341351622336,2,AIPW,1
1.3381516788089,1.23798453371355,1.44656650192312,3,auDRI,1
1.32663036157272,1.22909766458374,1.42416305856169,3,AIPW,1
1.43688497282745,1.26785116427457,1.61433695786189,4,auDRI,1
1.56306287633044,1.36601851852448,1.7601072341364,4,AIPW,1
1.38919545619339,1.2850508287796,1.48490363432422,1,auDRI,2
1.39343023036309,1.29295727455293,1.49390318617325,1,AIPW,2
1.52485561117853,1.35077065893253,1.6910406754049,2,auDRI,2
1.49405604005548,1.29077266902487,1.69733941108609,2,AIPW,2
1.39553774333248,1.30068147655705,1.4963609626572,3,auDRI,2
1.40021788007591,1.30099539622193,1.49944036392989,3,AIPW,2
1.64538561042686,1.47701088985024,1.80627776929129,4,auDRI,2
1.66560062289898,1.46690393400771,1.86429731179026,4,AIPW,2
1.39830271754297,1.30034247911925,1.49546963109705,1,auDRI,3
1.38826811870899,1.29096073885677,1.48557549856121,1,AIPW,3
1.497797335384,1.33606442234376,1.6578460767186,2,auDRI,3
1.54159881465228,1.34233554775327,1.74086208155129,2,AIPW,3
1.4036494680391,1.30856195037529,1.50400319548984,3,auDRI,3
1.39639972821709,1.29943573375549,1.4933637226787,3,AIPW,3
1.59645182961623,1.43762725431495,1.76428348523925,4,auDRI,3
1.67037591855603,1.47442269799468,1.86632913911738,4,AIPW,3
1.33578436754594,1.24208183934553,1.43179752597545,1,auDRI,4
1.33459975292197,1.24204431158046,1.42715519426349,1,AIPW,4
1.45684245163087,1.30281606783859,1.6162464631465,2,auDRI,4
1.50889581658032,1.31432838831235,1.70346324484829,2,AIPW,4
1.33432005674018,1.24257931687617,1.42268892198908,3,auDRI,4
1.33643568813479,1.24386905797292,1.42900231829667,3,AIPW,4
1.55016708460826,1.36765572781803,1.73033129301138,4,auDRI,4
1.602960102931,1.40846186255843,1.79745834330357,4,AIPW,4
1.3564724615847,1.26242378798362,1.4550488152211,1,auDRI,5
1.3475455027653,1.25102923473196,1.44406177079864,1,AIPW,5
1.47548203193009,1.3387335382893,1.63117569886165,2,auDRI,5
1.48642198267683,1.28424120913449,1.68860275621916,2,AIPW,5
1.36031702056872,1.26478435742324,1.4555896519801,3,auDRI,5
