estimate,CI_left,CI_right,misp,estimator,lrnr,ATE,iter
0.20368356596394,0.182331196021641,0.222950762352296,1,auDRI,gam_0,0.194711342288861,1
0.202972569881652,0.182785479656784,0.22315966010652,1,AIPW,gam_0,0.194711342288861,1
0.210716992214221,0.190834903445571,0.23203413761592,2,auDRI,gam_0,0.194711342288861,1
0.206626994352388,0.183075589144786,0.23017839955999,2,AIPW,gam_0,0.194711342288861,1
0.20941390246026,0.190633908507336,0.228502551757227,3,auDRI,gam_0,0.194711342288861,1
0.208612544271345,0.19159135004098,0.22563373850171,3,AIPW,gam_0,0.194711342288861,1
0.35721275790937,0.338799798462891,0.376595119995048,4,auDRI,gam_0,0.194711342288861,1
0.357359071095678,0.339047500728497,0.375670641462858,4,AIPW,gam_0,0.194711342288861,1
0.202335973511008,0.182274625424011,0.220149739156424,1,auDRI,gam_1,0.194711342288861,1
0.204108648860523,0.18438629555728,0.223831002163766,1,AIPW,gam_1,0.194711342288861,1
0.203781151711619,0.182943658071225,0.224756297774464,2,auDRI,gam_1,0.194711342288861,1
0.2138030504474,0.190798378720381,0.23680772217442,2,AIPW,gam_1,0.194711342288861,1
0.204740750420011,0.185935684289974,0.223620097886018,3,auDRI,gam_1,0.194711342288861,1
0.211920768245786,0.194959672395539,0.228881864096033,3,AIPW,gam_1,0.194711342288861,1
0.35721275790937,0.340197193204477,0.37527264071489,4,auDRI,gam_1,0.194711342288861,1
0.357359071095678,0.339047500728497,0.375670641462858,4,AIPW,gam_1,0.194711342288861,1
0.20254469265455,0.182667616331041,0.223441066703646,1,auDRI,gam_2,0.194711342288861,1
0.204005523548062,0.183867350131214,0.22414369696491,1,AIPW,gam_2,0.194711342288861,1
0.206417003635453,0.187563200007837,0.227641846853209,2,auDRI,gam_2,0.194711342288861,1
0.207237396306306,0.183622045202868,0.230852747409744,2,AIPW,gam_2,0.194711342288861,1
0.203136632667381,0.184890581277891,0.223371231423508,3,auDRI,gam_2,0.194711342288861,1
0.207199233421278,0.190217388217453,0.224181078625103,3,AIPW,gam_2,0.194711342288861,1
0.35721275790937,0.339617702935869,0.376196739166211,4,auDRI,gam_2,0.194711342288861,1
0.357359071095678,0.339047500728497,0.375670641462858,4,AIPW,gam_2,0.194711342288861,1
0.204281487408912,0.18242861612162,0.22631558470237,1,auDRI,xgboost,0.194711342288861,1
