iter,method,coef,se,CI_left,CI_right
1,Tlearner,0.985183266310574,0.0255700035596171,0.935066980249164,1.03529955237198
1,Rlearner,0.977527555603695,0.0326822827681505,0.913471458445566,1.04158365276182
1,intercept,1.14655629788714,0.0426905775493844,1.06288276589035,1.23022982988393
1,AIPW,0.990609609453527,0.0340238232010943,0.923922915979382,1.05729630292767
2,Tlearner,0.994411104147986,0.0257207193232209,0.94399942061801,1.04482278767796
2,Rlearner,1.0073717370677,0.0331543221115089,0.942390459797301,1.0723530143381
2,intercept,1.16826181523905,0.0430465492383362,1.08389057873191,1.25263305174619
2,AIPW,0.977279705502841,0.0464064244368914,0.886323113606534,1.06823629739915
4,Tlearner,0.994769261369966,0.0290019939450652,0.93792639775779,1.05161212498214
4,Rlearner,0.972791480664851,0.03228625551224,0.909511582665203,1.0360713786645
4,intercept,1.08775135615671,0.0431826973372645,1.00311326937567,1.17238944293775
4,AIPW,1.00414014091475,0.0413766349897128,0.923041936334912,1.08523834549459
5,Tlearner,1.05161937392734,0.0254300227110735,1.0017774452876,1.10146130256708
5,Rlearner,1.03260089758239,0.0313195837533092,0.971215641415122,1.09398615374967
5,intercept,1.24729607786913,0.0449090755437026,1.15927428980347,1.33531786593479
5,AIPW,1.04216092664092,0.0281533319843657,0.986980395951561,1.09734145733027
6,Tlearner,0.952287133914586,0.0271047700292287,0.899162760848057,1.00541150698111
6,Rlearner,0.967501316298434,0.0336095732060294,0.901627763278854,1.03337486931801
6,intercept,1.13004738135998,0.0443168444708608,1.04318636619709,1.21690839652287
6,AIPW,0.943630873452373,0.0908098790498247,0.765643510514717,1.12161823639003
7,Tlearner,1.00067145742687,0.0269817752961408,0.947788149607477,1.05355476524625
7,Rlearner,1.01587058536663,0.031777509085576,0.953587812040503,1.07815335869275
7,intercept,1.1862695895811,0.0410121483638971,1.10588577878786,1.26665340037434
7,AIPW,1.01786790262628,0.0274449942834223,0.96407571383077,1.07166009142179
8,Tlearner,1.030016271786,0.0287653682401238,0.973637186033322,1.08639535753867
8,Rlearner,1.02568056289291,0.0323633367939436,0.962249588357243,1.08911153742858
8,intercept,1.20728303542917,0.0449997619858959,1.11908350193682,1.29548256892153
8,AIPW,1.05304714066331,0.0288281085942487,0.996544047818585,1.10955023350804
9,Tlearner,0.981491948844191,0.0272439464531485,0.928094794999282,1.0348891026891
9,Rlearner,0.973076823285393,0.0314138385061778,0.911506831197127,1.03464681537366
9,intercept,1.17487025934344,0.042116116907561,1.09232267020462,1.25741784848226
9,AIPW,0.984231567572993,0.0343927115225363,0.916821852988822,1.05164128215716
10,Tlearner,0.989426776319195,0.027976991270894,0.934592881032451,1.04426067160594
10,Rlearner,1.00859242186285,0.030826480014741,0.948173631263811,1.06901121246188
10,intercept,1.15973626875607,0.0431062138454612,1.07524808961896,1.24422444789317
10,AIPW,1.02831186222004,0.0336360632796473,0.962385178191928,1.09423854624814
12,Tlearner,1.01033057082908,0.0299509414454415,0.95162780429295,1.06903333736522
12,Rlearner,0.987185853940203,0.0317798980306771,0.924898398367721,1.04947330951269
12,intercept,1.20828246908848,0.042999300945655,1.124003839235,1.29256109894197
12,AIPW,1.04220769559315,0.0312058885695309,0.981044153996874,1.10337123718944
13,Tlearner,1.0079604223781,0.0277073826204804,0.953654950336083,1.06226589442011
13,Rlearner,1.02591491514366,0.031665150786296,0.963852360037491,1.08797747024983
13,intercept,1.2356855177691,0.0449984012754463,1.14748865126923,1.32388238426898
13,AIPW,1.10465461648117,0.0655586721308697,0.976159619104666,1.23314961385768
14,Tlearner,0.991121126634118,0.0271104067231727,0.937985705850467,1.04425654741777
14,Rlearner,0.999717988165478,0.031364615607744,0.938244471185357,1.0611915051456
14,intercept,1.20004524915713,0.0457588847692396,1.11035783500942,1.28973266330484
14,AIPW,1.00209113334776,0.027115392529268,0.948944963990394,1.05523730270512
