estimate,CI_left,CI_right,misp,estimator,lrnr,ATE,iter
0.114974458023683,0.0970037381517441,0.135504177821476,1,auDRI,gam_0,0.113566755228811,1
0.113119592633005,0.0929096587258956,0.133329526540114,1,AIPW,gam_0,0.113566755228811,1
0.136872554877037,0.110433395507992,0.17017782540092,2,auDRI,gam_0,0.113566755228811,1
0.14599769535476,0.103766453381858,0.188228937327662,2,AIPW,gam_0,0.113566755228811,1
0.130411279856275,0.112104112010717,0.148384769752742,3,auDRI,gam_0,0.113566755228811,1
0.126270189774595,0.112149022241572,0.140391357307618,3,AIPW,gam_0,0.113566755228811,1
0.534419588075407,0.518114133135951,0.551354346363559,4,auDRI,gam_0,0.113566755228811,1
0.53427140604046,0.517701879262157,0.550840932818763,4,AIPW,gam_0,0.113566755228811,1
0.111817691862367,0.0932191975315387,0.132057103819241,1,auDRI,gam_1,0.113566755228811,1
0.114387759024751,0.0945954889405562,0.134180029108946,1,AIPW,gam_1,0.113566755228811,1
0.133751091271589,0.107873795156972,0.170227223814976,2,auDRI,gam_1,0.113566755228811,1
0.168452540615176,0.128712055861288,0.208193025369065,2,AIPW,gam_1,0.113566755228811,1
0.120690279936687,0.102284017350589,0.138771538622301,3,auDRI,gam_1,0.113566755228811,1
0.134775925782233,0.120667176443106,0.14888467512136,3,AIPW,gam_1,0.113566755228811,1
0.534419588075407,0.517924580260913,0.550092704454204,4,auDRI,gam_1,0.113566755228811,1
0.53427140604046,0.517701879262157,0.550840932818763,4,AIPW,gam_1,0.113566755228811,1
0.109843254680691,0.0895310044079245,0.129966840152322,1,auDRI,gam_2,0.113566755228811,1
0.112276740563839,0.0927224697353271,0.131831011392352,1,AIPW,gam_2,0.113566755228811,1
0.128777771176347,0.102802735070838,0.161109023642562,2,auDRI,gam_2,0.113566755228811,1
0.162150373120451,0.121800246091068,0.202500500149834,2,AIPW,gam_2,0.113566755228811,1
0.116480873602267,0.0972320483621422,0.134446638730293,3,auDRI,gam_2,0.113566755228811,1
0.128609044256951,0.114523720954004,0.142694367559898,3,AIPW,gam_2,0.113566755228811,1
0.534419588075407,0.518244590785736,0.549795230245754,4,auDRI,gam_2,0.113566755228811,1
0.53427140604046,0.517701879262157,0.550840932818763,4,AIPW,gam_2,0.113566755228811,1
0.120207409572245,0.0990344903392441,0.141291953188724,1,auDRI,xgboost,0.113566755228811,1
0.140788172553831,0.120931865120353,0.16064447998731,1,AIPW,xgboost,0.113566755228811,1
0.140220717250679,0.119058501940766,0.169925363892552,2,auDRI,xgboost,0.113566755228811,1
0.221554327650984,0.188583790406036,0.254524864895932,2,AIPW,xgboost,0.113566755228811,1
0.162927794700907,0.142630628949591,0.183346673938757,3,auDRI,xgboost,0.113566755228811,1
0.189670882103301,0.175462956773597,0.203878807433005,3,AIPW,xgboost,0.113566755228811,1
0.534419588075407,0.517714606183184,0.551545528121056,4,auDRI,xgboost,0.113566755228811,1
0.53427140604046,0.517701879262157,0.550840932818763,4,AIPW,xgboost,0.113566755228811,1
0.199327586897987,0.176222982313251,0.223017398152285,1,auDRI,gam_0,0.194226211729637,2
0.197160163673218,0.173744870531065,0.220575456815372,1,AIPW,gam_0,0.194226211729637,2
0.215306254814995,0.190102495561191,0.246431325072271,2,auDRI,gam_0,0.194226211729637,2
0.212778533647528,0.173214311628907,0.252342755666149,2,AIPW,gam_0,0.194226211729637,2
0.211491852801785,0.192742887982825,0.23260210976547,3,auDRI,gam_0,0.194226211729637,2
0.202007521755501,0.187605484849417,0.216409558661586,3,AIPW,gam_0,0.194226211729637,2
