estimate,CI_left,CI_right,misp,estimator,lrnr,pos_const,n,ATE,iter
0.298336069831216,0.22464694171292,0.378753018438255,1,auDRI,earth,2,1000,0.272810603616791,1
0.314883213023796,0.240588105533065,0.389178320514528,1,AIPW,earth,2,1000,0.272810603616791,1
0.305817081334111,0.23129977739147,0.390084480173773,2,auDRI,earth,2,1000,0.272810603616791,1
0.334068383020922,0.259536547852185,0.408600218189659,2,AIPW,earth,2,1000,0.272810603616791,1
0.364929487426669,0.30744004772168,0.4231740770322,3,auDRI,earth,2,1000,0.272810603616791,1
0.339510119953136,0.283720595967346,0.395299643938926,3,AIPW,earth,2,1000,0.272810603616791,1
0.380765782759138,0.323650540207461,0.435220594274883,4,auDRI,earth,2,1000,0.272810603616791,1
0.380374512829271,0.324413786358119,0.436335239300424,4,AIPW,earth,2,1000,0.272810603616791,1
0.266968551674871,0.192721265622245,0.337890453087523,1,auDRI,gam_1,2,1000,0.272810603616791,1
0.290479758861791,0.222622926373319,0.358336591350262,1,AIPW,gam_1,2,1000,0.272810603616791,1
0.295901833461777,0.223538192231574,0.372019510249221,2,auDRI,gam_1,2,1000,0.272810603616791,1
0.319212362167392,0.246716026611924,0.39170869772286,2,AIPW,gam_1,2,1000,0.272810603616791,1
0.279486271276894,0.216685910457233,0.344722945989247,3,auDRI,gam_1,2,1000,0.272810603616791,1
0.311777358952917,0.256808222346915,0.366746495558919,3,AIPW,gam_1,2,1000,0.272810603616791,1
0.380765782759138,0.327574981949055,0.434482574333917,4,auDRI,gam_1,2,1000,0.272810603616791,1
0.380374512829271,0.324413786358119,0.436335239300424,4,AIPW,gam_1,2,1000,0.272810603616791,1
0.284316438313281,0.206774955656,0.360237433610027,1,auDRI,xgboost,2,1000,0.272810603616791,1
0.293248254751609,0.226216504898256,0.360280004604961,1,AIPW,xgboost,2,1000,0.272810603616791,1
0.29487568642199,0.209538961110521,0.381427187716461,2,auDRI,xgboost,2,1000,0.272810603616791,1
0.328522846857189,0.258760697926802,0.398284995787576,2,AIPW,xgboost,2,1000,0.272810603616791,1
0.293641447617999,0.23204003946407,0.353144739665448,3,auDRI,xgboost,2,1000,0.272810603616791,1
0.303979475968422,0.24819997059921,0.359758981337635,3,AIPW,xgboost,2,1000,0.272810603616791,1
0.380765782759138,0.32534186414442,0.437139097647677,4,auDRI,xgboost,2,1000,0.272810603616791,1
0.380374512829271,0.324413786358119,0.436335239300424,4,AIPW,xgboost,2,1000,0.272810603616791,1
0.252420892277956,0.177885550595479,0.328057389885952,1,auDRI,earth,2,1000,0.273141999832491,2
0.22791634658854,0.151077356051159,0.304755337125922,1,AIPW,earth,2,1000,0.273141999832491,2
0.276006326772689,0.204808070072214,0.350954137771937,2,auDRI,earth,2,1000,0.273141999832491,2
0.249728072537905,0.166921337699813,0.332534807375998,2,AIPW,earth,2,1000,0.273141999832491,2
0.298936349101442,0.23513034199548,0.364495041253165,3,auDRI,earth,2,1000,0.273141999832491,2
0.259075892301933,0.202839562724041,0.315312221879826,3,AIPW,earth,2,1000,0.273141999832491,2
0.39648033126294,0.341340866983081,0.453194085651369,4,auDRI,earth,2,1000,0.273141999832491,2
0.396828866100245,0.3406079789891,0.453049753211391,4,AIPW,earth,2,1000,0.273141999832491,2
0.226178588512889,0.152012283440915,0.300711936080769,1,auDRI,gam_1,2,1000,0.273141999832491,2
0.225256342089584,0.155003991686102,0.295508692493066,1,AIPW,gam_1,2,1000,0.273141999832491,2
0.245602843186448,0.17242761429666,0.317675570366087,2,auDRI,gam_1,2,1000,0.273141999832491,2
0.260694576517762,0.183156895390957,0.338232257644567,2,AIPW,gam_1,2,1000,0.273141999832491,2
0.270825897796644,0.206329028990824,0.336289284135733,3,auDRI,gam_1,2,1000,0.273141999832491,2
0.256951121882517,0.20157377244749,0.312328471317544,3,AIPW,gam_1,2,1000,0.273141999832491,2
0.39648033126294,0.339405915651204,0.45261170972798,4,auDRI,gam_1,2,1000,0.273141999832491,2
0.396828866100245,0.3406079789891,0.453049753211391,4,AIPW,gam_1,2,1000,0.273141999832491,2
0.197325286386322,0.11432118107765,0.281821895998165,1,auDRI,xgboost,2,1000,0.273141999832491,2
0.231621092080923,0.161004631508977,0.302237552652869,1,AIPW,xgboost,2,1000,0.273141999832491,2
0.234256895988601,0.152876299533801,0.318590256613994,2,auDRI,xgboost,2,1000,0.273141999832491,2
0.264919057003124,0.18761015649263,0.342227957513619,2,AIPW,xgboost,2,1000,0.273141999832491,2
0.261165224584671,0.197407850535298,0.32614884068865,3,auDRI,xgboost,2,1000,0.273141999832491,2
